PSMID|Fulltitle|Article Sequence|Title|CHO Pub Type|Aucomposed|Prefix|First|Middle|Last|Suffix|Atlas Hub UID|PNA Notes
cho_iaxx_1962_0038_000_0000|International Affairs|12|Some Aspects of the Congo Problem|Journals|A. A. J. Van Bilsen||A.|A. J.|Van Bilsen||22374626|
cho_book_1979_brownlie_000_0000|African Boundaries|82|Cameroun-Nigeria|Books|A. Ahidjo||A.||Ahidjo||13699744|
cho_book_1979_brownlie_000_0000|African Boundaries|97|Za?re-Zambia|Books|A. B. Clough||A.|B.|Clough|||can't ID; possibly British Brigadier General
cho_wtxx_1954_0010_000_0000|The World Today|62|The Sudan under the Sudanese|Journals|A. B. H.||A.|B.|H.|||can't ID
cho_book_1979_brownlie_000_0000|African Boundaries|105|Ethiopia-Sudan|Books|A. Bodrero||A.||Bodrero|||possibly Antonio Bodrero, Italian politician, college teacher and poet, 11/1/1921-1999, AKA Bodrie, Toni; http://translate.google.com/translate?hl=en&sl=it&u=http://it.wikipedia.org/wiki/Antonio_Bodrero&prev=/search%3Fq%3DAntonio%2BBodrero%26client%3Dsafari%26rls%3Den
cho_wtxx_1949_0005_000_0000|The World Today|100|Trieste's New Role in Europe|Journals|A. C.||A.||C.|||can't ID
cho_wtxx_1959_0015_000_0000|The World Today|25|The Outlook for European Trade After the Free Trade Area Negotiations|Journals|A. C.||A.||C.|||can't ID
cho_wtxx_1949_0005_000_0000|The World Today|82|Persia Revisited|Journals|A. C. E.||A.|C.|E.||22248177|
cho_book_1979_brownlie_000_0000|African Boundaries|126|Malawi-Mozambique|Books|A. D. M. Ross||A.|D. M.|Ross|||no bio info found
cho_iaxx_1962_0038_000_0000|International Affairs|125|Book Review: War and Strategy|Journals|A. D. Nicholl||A.|D.|Nicholl||22238831|
cho_iaxx_1964_0040_000_0000|International Affairs|18|Book Review: Military|Journals|A. D. Nicholl||A.|D.|Nicholl||22238831|
cho_iaxx_1964_0040_000_0000|International Affairs|48|Book Review: Military|Journals|A. D. Nicholl||A.|D.|Nicholl||22238831|
cho_iaxx_1964_0040_000_0000|International Affairs|109|Book Review: Military|Journals|A. D. Nicholl||A.|D.|Nicholl||22238831|
cho_book_1979_brownlie_000_0000|African Boundaries|82|Cameroun-Nigeria|Books|A. De Fleuriau||A.||De Fleuriau||22309020|
cho_book_1979_brownlie_000_0000|African Boundaries|50|Ghana-Ivory Coast|Books|A. Delafosse||A.||Delafosse|||can't ID; probably Maurice Delafosse French ethnographer and colonial official, b. December 20, 1870, Sancergues, France, d. November 13, 1926; http://en.wikipedia.org/wiki/Maurice_Delafosse
cho_book_1979_brownlie_000_0000|African Boundaries|50|Ghana-Ivory Coast|Books|A. E. Watherston||A.|E.|Watherston||22309026|
cho_wtxx_1959_0015_000_0000|The World Today|52|A Year of Republican Iraq|Journals|A. F.||A.||F.|||can't ID
cho_book_1979_brownlie_000_0000|African Boundaries|48|Benin-Upper Volta|Books|A. Fallieres||A.||Fallieres|||can't ID, possibly Armand Falli?res (Cl?ment Armand Falli?res), French president 6 November 1841, M?zin, France - 22 June 1931, Lannes, France, UID , http://en.wikipedia.org/wiki/Armand_Falli?res
cho_book_1979_brownlie_000_0000|African Boundaries|119|Angola-Zambia|Books|A. Franco Nogueira||A.|Franco|Nogueira||22309028|
cho_book_1979_brownlie_000_0000|African Boundaries|126|Malawi-Mozambique|Books|A. Franco Nogueira||A.|Franco|Nogueira||22309028|
cho_wtxx_1962_0018_000_0000|The World Today|22|New-Found Political Stability in Greece|Journals|A. G. Anghelatos||A.|G.|Anghelatos|||no bio info found, probably a political scientist, possibly Greek, writer
