psmid|articleid|title|authors|assetid
cho_book_1921_0004_000_0000|1|Front Matter||TURUYN549340452
cho_book_1921_0004_000_0000|2|Title Page||WVRKVX259917220
cho_book_1921_0004_000_0000|3|Contributors to Volumes IV and V||XTCTVY049348575
cho_book_1921_0004_000_0000|4|Editorial Foreword||JWLRZC020099015
cho_book_1921_0004_000_0000|5|Plan of the Volume||STQCMY696454934
cho_book_1921_0004_000_0000|6|Contents of Vol. IV||WMBEGE298652265
cho_book_1921_0004_000_0000|7|Chapter I The Collapse of the Central Powers||MFEWSO377953559
cho_book_1921_0004_000_0000|8|Part I The Military Collapse of Bulgaria||ULVZNM410456441
cho_book_1921_0004_000_0000|9|Part II The Military Disintegration of the Austro-Hungarian Monarchy||HKTPRH713741282
cho_book_1921_0004_000_0000|10|Part III The Downfall of the Habsburg Monarchy||AMLAOA595732609
cho_book_1921_0004_000_0000|11|Chapter II The Armistices and the Problems of the Peace||RWJFBH340200667
cho_book_1921_0004_000_0000|12|Part I The Armistices and their Meaning||VRCTXH076189347
cho_book_1921_0004_000_0000|13|Part II Brief Sketch of the Problems Connected with the Austrian and Hungarian Treaties||BJOFQJ382505718
cho_book_1921_0004_000_0000|14|Chapter III Disarmament||BZUFXR122395838
cho_book_1921_0004_000_0000|15|Part I The Treaty with Austria (Treaty of St. Germain): The Military Terms||EVENYC485170046
cho_book_1921_0004_000_0000|16|Part II The Treaty with Hungary (Treaty of the Trianon) - The Military Terms||SYHYSZ802313498
cho_book_1921_0004_000_0000|17|Part III The Treaty with Bulgaria (Treaty of Neuilly); the Military Terms||LANKFT289867363
cho_book_1921_0004_000_0000|18|Chapter IV The Liberation of the New Nationalities||NGXOOI962310073
cho_book_1921_0004_000_0000|19|Part I The Yugo-Slavs||JVZHRT974520350
cho_book_1921_0004_000_0000|20|Part II Rumania and the Redemption of the Rumanians||ZGXJPP877500038
cho_book_1921_0004_000_0000|21|Part III The Formation of the Czecho-Slovak State||PEWGDL751377020
cho_book_1921_0004_000_0000|22|Chapter V The Treaty of London||FZLTXR190587322
cho_book_1921_0004_000_0000|23|Part I Italy's New Frontiers: The Tyrol, Istria, Fiume||QRAUEN562642260
cho_book_1921_0004_000_0000|24|Part II Albania||JVQFFA483079043
cho_book_1921_0004_000_0000|25|Chapter VI The Plebiscites||NDQMFE726975492
cho_book_1921_0004_000_0000|26|Part I The Czecho-Slovak Plebiscite Areas||OJPEHI714353881
cho_book_1921_0004_000_0000|27|Part II The Klagenfurt Basin||YFRCQY420469186
cho_book_1921_0004_000_0000|28|Part III German West Hungary||LPIJTL474436878
cho_book_1921_0004_000_0000|29|Chapter VII The Making of the Treaties with Austria, Bulgaria, and Hungary, and the Principles Underlying Them||DYXVCU513026113
cho_book_1921_0004_000_0000|30|Chapter VIII The New Bulgaria||GALXED723807192
cho_book_1921_0004_000_0000|31|Chapter IX||KDCLDK679503181
cho_book_1921_0004_000_0000|32|Part I The New Austria||CRSHSI428281046
