psmid|articlesequence|fulltitle|aucomposed|atlashubuid
cho_bcrc_1933_0002_000_0000|1|||
cho_bcrc_1933_0002_000_0000|2|||
cho_bcrc_1933_0002_000_0000|3|||
cho_bcrc_1933_0002_000_0000|4||Hon. Vincent Massey|13734556
cho_bcrc_1933_0002_000_0000|5||Hon. Vincent Massey|13734556
cho_bcrc_1933_0002_000_0000|6|||
cho_bcrc_1933_0002_000_0000|7||Lord Cecil|13671043
cho_bcrc_1933_0002_000_0000|8|||
cho_bcrc_1933_0002_000_0000|9||Rt. Hon. F. S. Malan P. C.|14731725
cho_bcrc_1933_0002_000_0000|10||Senator Malan|14731725
cho_bcrc_1933_0002_000_0000|11|||
cho_bcrc_1933_0002_000_0000|12||Hon. W. Downie Stewart|22303350
cho_bcrc_1933_0002_000_0000|13||Hon. Mr. W. Downie Stewart|22303350
cho_bcrc_1933_0002_000_0000|14||Hon. Mr. Vincent Massey|13734556
cho_bcrc_1933_0002_000_0000|15|||
cho_bcrc_1933_0002_000_0000|16||Hon. N. W. Rowell|14906317
cho_bcrc_1933_0002_000_0000|17||Hon. N. W. Rowell|14906317
cho_bcrc_1933_0002_000_0000|18||Hon. Newton W. Rowell K. C.|14906317
cho_bcrc_1933_0002_000_0000|19||Hon. Newton W. Rowell K. C.|14906317
cho_bcrc_1933_0003_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1933_0003_000_0000|2|British Commonwealth Relations Conference|Escott Reid|13947327
cho_bcrc_1933_0003_000_0000|3|British Commonwealth Relations Conference|Mr. Gerald E. H. Palmer (Secretary to the Committee)|14846023
cho_bcrc_1933_0003_000_0000|3|British Commonwealth Relations Conference|Professor A. E. Zimmern|18017488
cho_bcrc_1933_0003_000_0000|3|British Commonwealth Relations Conference|Sir Austen Chamberlain|13671062
cho_bcrc_1933_0003_000_0000|3|British Commonwealth Relations Conference|Lord Howard of Penrith|22293002
cho_bcrc_1933_0003_000_0000|4|British Commonwealth Relations Conference|Mr. Alfred Stirling|13986897
cho_bcrc_1933_0003_000_0000|4|British Commonwealth Relations Conference|Hon. F. W. Eggleston|22207726
cho_bcrc_1933_0003_000_0000|4|British Commonwealth Relations Conference|Mr. E. L. Piesse|22286710
cho_bcrc_1933_0003_000_0000|4|British Commonwealth Relations Conference|Mr. P. D. Phillips|18058942
cho_bcrc_1933_0003_000_0000|4|British Commonwealth Relations Conference|Mr. Tristan Buesst|22237932
cho_bcrc_1933_0003_000_0000|4|British Commonwealth Relations Conference|Professor E. Scott|
cho_bcrc_1933_0003_000_0000|4|British Commonwealth Relations Conference|Professor K. H. Bailey|22236987
cho_bcrc_1933_0003_000_0000|4|British Commonwealth Relations Conference|Sir William Harrison Moore|22297059
cho_bcrc_1933_0003_000_0000|5|British Commonwealth Relations Conference||
cho_bcrc_1933_0003_000_0000|6|British Commonwealth Relations Conference|John J. Horgan|14495472
cho_bcrc_1933_0003_000_0000|7|British Commonwealth Relations Conference|Professor Norman Mackenzie|22297034
cho_bcrc_1933_0003_000_0000|8|British Commonwealth Relations Conference|Sir W. Harrison Moore|22297059
cho_bcrc_1933_0003_000_0000|9|British Commonwealth Relations Conference|P. D. Phillips|18058942
cho_bcrc_1933_0003_000_0000|10|British Commonwealth Relations Conference|E. L. Plesse|22286710
cho_bcrc_1933_0003_000_0000|11|British Commonwealth Relations Conference||
cho_bcrc_1933_0003_000_0000|12|British Commonwealth Relations Conference||
cho_bcrc_1933_0003_000_0000|13|British Commonwealth Relations Conference|Lord Howard of Penrith|22293002
cho_bcrc_1933_0003_000_0000|14|British Commonwealth Relations Conference|G. E. H. Palmer|14846023
cho_bcrc_1933_0004_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|2|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|3|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|4|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|5|British Commonwealth Relations Conference|Professor Eric Walker|
cho_bcrc_1933_0004_000_0000|6|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|7|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|8|British Commonwealth Relations Conference|N. Z. Wellington|
cho_bcrc_1933_0004_000_0000|8|British Commonwealth Relations Conference|H. F. von Haast|22292951
cho_bcrc_1933_0004_000_0000|9|British Commonwealth Relations Conference|Halifax|13739510
cho_bcrc_1933_0004_000_0000|9|British Commonwealth Relations Conference|Charles J. Burchell, K. C.|22286700
cho_bcrc_1933_0004_000_0000|10|British Commonwealth Relations Conference|A. Brady,  B. A., Ox., M. A., Ph. D.|14551571
cho_bcrc_1933_0004_000_0000|11|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|12|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|13|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|14|British Commonwealth Relations Conference|W. J. V. Windeyer, B. A., Ll. B.|22297179
cho_bcrc_1933_0004_000_0000|15|British Commonwealth Relations Conference|Mohammad Zafrulla Khan|14589109
cho_bcrc_1933_0004_000_0000|15|British Commonwealth Relations Conference|Diwan Bahadur Ramaswami Mudaliar|22207617
cho_bcrc_1933_0004_000_0000|16|British Commonwealth Relations Conference|Lionel H. Laing|
cho_bcrc_1933_0004_000_0000|17|British Commonwealth Relations Conference||
cho_bcrc_1933_0004_000_0000|18|British Commonwealth Relations Conference|Sir Karl Knudsen, K. B. E.|22297053
cho_bcrc_1933_0004_000_0000|19|British Commonwealth Relations Conference|Lord Howard of Penrith|22293002
cho_bcrc_1933_0004_000_0000|20|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|2|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|3|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|4|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|5|British Commonwealth Relations Conference|Ivison S. MacAdam|22219381
cho_bcrc_1937_cleeve_001_0000|6|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|7|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|8|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|9|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|10|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|11|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|12|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|13|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|14|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|15|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|16|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|17|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|18|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|19|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|20|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|21|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|22|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|23|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|24|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|25|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|26|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|27|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|28|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|29|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|30|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|31|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|32|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|33|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|34|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|35|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|36|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|37|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|38|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|39|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|40|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|41|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|42|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|43|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|44|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|45|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|46|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|47|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|48|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|49|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|50|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|51|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|52|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|53|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|54|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|55|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|56|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|57|British Commonwealth Relations Conference||
cho_bcrc_1937_cleeve_001_0000|58|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|2|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|2|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|3|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|3|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|4|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|4|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|5|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|5|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|6|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|6|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|7|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|7|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|8|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|8|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|9|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|9|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|10|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|10|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|11|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|11|British Commonwealth Relations Conference||
cho_bcrc_1938_0001_000_0000|12|British Commonwealth Relations Conference||
cho_bcrc_1938_0002_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1938_0002_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1938_0002_000_0000|2|British Commonwealth Relations Conference||
cho_bcrc_1938_0002_000_0000|2|British Commonwealth Relations Conference||
cho_bcrc_1938_0002_000_0000|3|British Commonwealth Relations Conference||
cho_bcrc_1938_0002_000_0000|3|British Commonwealth Relations Conference||
cho_bcrc_1938_0002_000_0000|4|British Commonwealth Relations Conference||
cho_bcrc_1938_0002_000_0000|4|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|2|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|3|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|4|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|5|British Commonwealth Relations Conference|Donal O'Sullivan|
cho_bcrc_1938_0005_000_0000|6|British Commonwealth Relations Conference|Michael Tierney|
cho_bcrc_1938_0005_000_0000|7|British Commonwealth Relations Conference|T. W. T. Dillon|22297147
cho_bcrc_1938_0005_000_0000|8|British Commonwealth Relations Conference|James Meenan|14762508
cho_bcrc_1938_0005_000_0000|9|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|10|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|11|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|12|British Commonwealth Relations Conference||
cho_bcrc_1938_0005_000_0000|13|British Commonwealth Relations Conference||
cho_bcrc_1938_0007_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1938_0007_000_0000|2|British Commonwealth Relations Conference||
cho_bcrc_1938_0007_000_0000|3|British Commonwealth Relations Conference|K. W. Taylor|
cho_bcrc_1938_0007_000_0000|4|British Commonwealth Relations Conference|C. H. Cahan|22286691
cho_bcrc_1938_0007_000_0000|4|British Commonwealth Relations Conference|C. G. MacNeil|22272729
cho_bcrc_1938_0007_000_0000|4|British Commonwealth Relations Conference|R. B. Bennett|13684701
cho_bcrc_1938_0007_000_0000|4|British Commonwealth Relations Conference|W. L. Mackenzie|
cho_bcrc_1938_0007_000_0000|4|British Commonwealth Relations Conference|Thomas Vien|22297164
cho_bcrc_1938_0007_000_0000|4|British Commonwealth Relations Conference|Ernest Lapointe|22286714
cho_bcrc_1938_0007_000_0000|4|British Commonwealth Relations Conference|G. G. McGeer|22291965
cho_bcrc_1938_0007_000_0000|4|British Commonwealth Relations Conference|Ian Mackenzie|22292986
cho_bcrc_1938_0007_000_0000|5|British Commonwealth Relations Conference|E. R.|
cho_bcrc_1938_0007_000_0000|5|British Commonwealth Relations Conference|C. P. S.|
cho_bcrc_1938_0007_000_0000|5|British Commonwealth Relations Conference|L. R. LaFleche|22296894
cho_bcrc_1938_0007_000_0000|5|British Commonwealth Relations Conference|Almeric Fitzroy|22263746
cho_bcrc_1938_0007_000_0000|6|British Commonwealth Relations Conference||
cho_bcrc_1938_0007_000_0000|7|British Commonwealth Relations Conference||
cho_bcrc_1938_0007_000_0000|8|British Commonwealth Relations Conference||
cho_bcrc_1938_0007_000_0000|9|British Commonwealth Relations Conference||
cho_bcrc_1938_0007_000_0000|10|British Commonwealth Relations Conference||
cho_bcrc_1945_0001_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1945_0001_000_0000|1|British Commonwealth Relations Conference||
cho_bcrc_1945_0001_000_0000|2|British Commonwealth Relations Conference|Professor G. L. Wood|18080517
cho_bcrc_1945_0001_000_0000|3|British Commonwealth Relations Conference|P. D. Phillips (Lecturer in International Relations University of Melbourne)|18058942
cho_bcrc_1945_0001_000_0000|4|British Commonwealth Relations Conference|H. Burton|
cho_bcrc_1945_0001_000_0000|5|British Commonwealth Relations Conference|Walter Hill|22300608
