psmid|articleid|title|authors|assetid
cho_binx_1925_0001_000_0000|1|Front Matter||BONIZN316938015
cho_binx_1925_0001_000_0000|1|V. Forthcoming Events||TGJGZF100779744
cho_binx_1925_0001_000_0000|2|Issue 1: 1st-15th February||VWTEVP118839698
cho_binx_1925_0001_000_0000|3|I. General Interest||ZEHGTV179646436
cho_binx_1925_0001_000_0000|4|II. Special Topics||IROIEJ370442411
cho_binx_1925_0001_000_0000|5|III. International Notes||FDSQGP990247336
cho_binx_1925_0001_000_0000|6|IV. League of Nations Notes||RITCHP988676242
cho_binx_1925_0001_000_0000|7|Issue 2: 2nd March||BMNCVG681357447
cho_binx_1925_0001_000_0000|8|I. General Interest||XIZFFY146409292
cho_binx_1925_0001_000_0000|9|II. Special Topics||CFVYFF895044626
cho_binx_1925_0001_000_0000|10|III. Notes and News||CWMTRE180593449
cho_binx_1925_0001_000_0000|11|IV. League of Nations Notes||JYUMXS823832972
cho_binx_1925_0001_000_0000|12|V. Forthcoming Events||FLVYXO945153471
cho_binx_1925_0001_000_0000|13|Issue 3: 15 March||VYSFCS095501559
cho_binx_1925_0001_000_0000|14|I. General Interest||JRATNJ613702365
cho_binx_1925_0001_000_0000|15|II. Special Topics||FBTKQQ677905737
cho_binx_1925_0001_000_0000|16|III Notes and News||OGTXUV241563200
cho_binx_1925_0001_000_0000|17|League of Nations Notes. February 25th - March 3rd||MIBFRK236753293
cho_binx_1925_0001_000_0000|18|Issue 4: 30th March||THZUAK404117846
cho_binx_1925_0001_000_0000|19|I. General Interest||OKMAGJ179903061
cho_binx_1925_0001_000_0000|20|II. Special Topics||BXVYDV505405507
cho_binx_1925_0001_000_0000|21|III. Notes and News||WVOMPN350781959
cho_binx_1925_0001_000_0000|22|IV. League of Nations Notes||KRITKT252660354
cho_binx_1925_0001_000_0000|23|Issue 5 & 6: 20th April||MFIELD805758838
cho_binx_1925_0001_000_0000|24|I. General Interest||VZAHLK771782234
cho_binx_1925_0001_000_0000|25|II. Special Topics||QQLIPA284586823
cho_binx_1925_0001_000_0000|26|III. International Notes and News||FSLFVD168910266
cho_binx_1925_0001_000_0000|27|IV. Forthcoming Events||LWALIL674109024
cho_binx_1925_0001_000_0000|28|Issue 7: 4th May||YBDZTM325904183
cho_binx_1925_0001_000_0000|29|I. General Interest||SGDHWD886647496
cho_binx_1925_0001_000_0000|30|II. Special Topics||KQMHQO984860722
cho_binx_1925_0001_000_0000|31|III. International Notes & News||HQIJYH075162055
cho_binx_1925_0001_000_0000|32|IV. League of Nations Notes||XYSUTY027559643
cho_binx_1925_0001_000_0000|33|V. Book Reviews||JNANFA186316662
cho_binx_1925_0001_000_0000|34|VI. Forthcoming Events||OCGQQC246534130
cho_binx_1925_0001_000_0000|35|Issue 8: 18th May||HVYJDM224972282
cho_binx_1925_0001_000_0000|36|I. General Interest||YXXQTF206672504
cho_binx_1925_0001_000_0000|37|II. Special Topics||IUMLVR372739570
cho_binx_1925_0001_000_0000|38|III. International Notes & News||RNZYDU973765750
cho_binx_1925_0001_000_0000|39|IV. League of Nations Notes||BNFYOW824008947
cho_binx_1925_0001_000_0000|40|V. Book Reviews||ABRBAL235746066
cho_binx_1925_0001_000_0000|41|VI. Forthcoming Events||ERLKBK518242534
cho_binx_1925_0001_000_0000|42|Issue 9 & 10: 8th June||ARWYYQ850717538
cho_binx_1925_0001_000_0000|43|I. General Interest||NQEHRV059139302
cho_binx_1925_0001_000_0000|44|II. Special Topics||JVPCPI838808715
