psmid|articlesequence|fulltitle|aucomposed|atlashubuid
cho_rsxx_1937-1938_0001_000_0000|1|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|2|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|3|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|4|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|5|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|6|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|7|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|8|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|9|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|10|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|11|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|12|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|13|Refugee Survey||
cho_rsxx_1937-1938_0001_000_0000|14|Refugee Survey||
cho_rsxx_1937-1938_0002_000_0000|1|Refugee Survey||
cho_rsxx_1937-1938_0002_000_0000|2|Refugee Survey|A. Stoupnitzky|
cho_rsxx_1937-1938_0002_000_0000|3|Refugee Survey||
cho_rsxx_1937-1938_0002_000_0000|4|Refugee Survey|A. Stoupnitzky|
cho_rsxx_1937-1938_0002_000_0000|4|Refugee Survey|Sir John Hope Simpson|
cho_rsxx_1937-1938_0002_000_0000|5|Refugee Survey|A. Stoupnitzky|
cho_rsxx_1937-1938_0002_000_0000|6|Refugee Survey|A. Stoupnitzky|
cho_rsxx_1937-1938_0002_000_0000|7|Refugee Survey|A. Stoupnitzky|
cho_rsxx_1937-1938_0002_000_0000|8|Refugee Survey|A. Stoupnitzky|
cho_rsxx_1937-1938_0002_000_0000|9|Refugee Survey|A. Izjumov|
cho_rsxx_1937-1938_0002_000_0000|10|Refugee Survey|Dr. A. Izjumov|
cho_rsxx_1937-1938_0002_000_0000|11|Refugee Survey|J. V. Hessen|
cho_rsxx_1937-1938_0002_000_0000|12|Refugee Survey||
cho_rsxx_1937-1938_0002_000_0000|13|Refugee Survey|Dr. S. Yakobson|
cho_rsxx_1937-1938_0003_000_0000|1|Refugee Survey||
cho_rsxx_1937-1938_0003_000_0000|2||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|3||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|4||Dr. A. Meusel|
cho_rsxx_1937-1938_0003_000_0000|5|||
cho_rsxx_1937-1938_0003_000_0000|6|||
cho_rsxx_1937-1938_0003_000_0000|7||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|8||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|9||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|10||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|11||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|12||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|13||Dr. A. Meusel|
cho_rsxx_1937-1938_0003_000_0000|14||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|15||Dr. Alfred Meusel|
cho_rsxx_1937-1938_0003_000_0000|16||Dr. A. Meusel|
cho_rsxx_1937-1938_0003_000_0000|17||Walter A. Berendsohn|
cho_rsxx_1937-1938_0003_000_0000|18||S. Adler-Rudel|
cho_rsxx_1937-1938_0003_000_0000|19||S. Adler-Rudel|
cho_rsxx_1937-1938_0006_000_0000|1|Refugee Survey||
cho_rsxx_1937-1938_0006_000_0000|2|||
cho_rsxx_1937-1938_0006_000_0000|3|||
cho_rsxx_1937-1938_0006_000_0000|4|||
cho_rsxx_1937-1938_0006_000_0000|5|||
cho_rsxx_1937-1938_0006_000_0000|6|||
cho_rsxx_1937-1938_0006_000_0000|7|||
cho_rsxx_1937-1938_0006_000_0000|8|||
cho_rsxx_1937-1938_0006_000_0000|9|||
cho_rsxx_1937-1938_0006_000_0000|10|||
