psmid|articleid|title|authors|assetid
cho_byil_1920-1921_0001_000_0000|1|Front Matter||PGYMNK729558468
cho_byil_1920-1921_0001_000_0000|2|Front Matter||SRFAVT027626282
cho_byil_1920-1921_0001_000_0000|3|Front Matter||CQFSVG695695405
cho_byil_1920-1921_0001_000_0000|4|Introduction||TOTLSU156085714
cho_byil_1920-1921_0001_000_0000|5|Contents||JYJBLE722527357
cho_byil_1920-1921_0001_000_0000|6|Professor Oppenheim|E. A. Whittuck B.C.L.|ULTOIO265489877
cho_byil_1920-1921_0001_000_0000|7|The British Prize Courts and the War|Sir Erle Richards K.C.S.I., K.C.|GGBYXJ300552124
cho_byil_1920-1921_0001_000_0000|8|Sovereignty and the League of Nations|Sir Geoffrey Butler K.B.E., M.A.|OCDRWK299509563
cho_byil_1920-1921_0001_000_0000|9|The Legal Position of Merchantmen in Foreign Ports and National Waters|A. H. Charteris LL.B.|CCHVIT015929979
cho_byil_1920-1921_0001_000_0000|10|Changes in the Organisation of the Foreign and Diplomatic Service||MPYRBU117020817
cho_byil_1920-1921_0001_000_0000|11|The League of Nations and the Laws of War||VJWHGG886005456
cho_byil_1920-1921_0001_000_0000|12|The Neutrality of Brazil||UDLZEY428146979
cho_byil_1920-1921_0001_000_0000|13|The Legal Administration of Palestine under the British Military Occupation|Lieut.-Col. Norman Bentwich|JGLWBQ096711032
cho_byil_1920-1921_0001_000_0000|14|Submarine Warfare|Professor A. Pearce Higgins C.B.E., LL.D.|SRDNUD203165713
cho_byil_1920-1921_0001_000_0000|15|The Peace Treaty in its Effects on Private Property|Ernest J. Schuster LL.D.|BGYNJR062684142
cho_byil_1920-1921_0001_000_0000|16|International Labour Conventions|Sir John MacDonell K.C.B.|ILUFSK269520077
cho_byil_1920-1921_0001_000_0000|17|Heinrich Lammasch|W. R. Bisschop D.C.L.|CNKMYG713116618
cho_byil_1920-1921_0001_000_0000|18|The Late Doctor T. J. Lawrence|Professor A. Pearce Higgins C.B.E., LL.D.|KEMNJG161590297
cho_byil_1920-1921_0001_000_0000|19|Dr. Pitt Cobbett|C. M. P.|SROGUV624324950
cho_byil_1920-1921_0001_000_0000|20|List of International Agreements, 1919-20||FZBQNG324833381
cho_byil_1920-1921_0001_000_0000|21|Bibliography||GZEMDU144234173
cho_byil_1920-1921_0001_000_0000|22|Cases Dealing with International Law Decided by the English Courts during the past Year|Andrew Eric Jackson LL.D., O.B.E., Solicitor|PDVAOK594360371
cho_byil_1920-1921_0001_000_0000|23|Books Received||PQHBXA236434258
cho_byil_1920-1921_0001_000_0000|24|Index||DUAOSS455926951
cho_byil_1921_0002_000_0000|1|Front Matter||FATIIH519621170
cho_byil_1921_0002_000_0000|2|Front Matter||TFCTNV338556739
cho_byil_1921_0002_000_0000|3|Front Matter||BBGXNO786992929
cho_byil_1921_0002_000_0000|4|Front Matter||XBIXQU786521942
cho_byil_1921_0002_000_0000|5|Contents||MKXNMB735764179
cho_byil_1921_0002_000_0000|6|The Jurisdiction of the Permanent Court of International Justice|Sir H. Erle Richards K.C.S.I., K.C.,|XNFTGG999755360
cho_byil_1921_0002_000_0000|7|The Permanent Court of International Justice and Compulsory Jurisdiction|Dr. B. C. J. Loder|TTGZCQ384190842
cho_byil_1921_0002_000_0000|8|Submarine Cables and International Law|Professor A. Pearce Higgins C. B. E., LL. D.|SBCQRU381838682
cho_byil_1921_0002_000_0000|9|The Effect of War on Treaties|Sir Cecil J. B. Hurst K. C. B., K. C.|BXTQEQ606445556
cho_byil_1921_0002_000_0000|10|Mandated Territories: Palestine and Mesopotamia (IRAQ)|Norman Bentwich|BNFGWN181655568
cho_byil_1921_0002_000_0000|11|Judicial Recognition of States and Governments, and the Immunity of Public Ships|Arnold D. McNair|MASXWS884767208
cho_byil_1921_0002_000_0000|12|Freedom of Navigation on the Rhine|Professor Eugène Borel|NZCVWK043636271
cho_byil_1921_0002_000_0000|13|Prize Court Procedure|E. S. Roscoe|FMKDJJ877028174
cho_byil_1921_0002_000_0000|14|The Roll De Superioritate Maris Angliae|T. C. Wade M. A., LL. B.|QOQILR592552673
cho_byil_1921_0002_000_0000|15|Protectorates and Mandates|T. Baty D. C. L., LL. D.,|KOLRJS297296004
cho_byil_1921_0002_000_0000|16|Sovereignty|W. R. Bisschop LL. D.|MVKDEX215004722
cho_byil_1921_0002_000_0000|17|Exterritoriality in China and the Question of its Abolition|M. T. Z. Tyau LL. D.|LGKFHG625107982
cho_byil_1921_0002_000_0000|18|The Work of the League of Nations|Reginald Berkeley|MZFNEW508282438
cho_byil_1921_0002_000_0000|19|The Problems of Air Law|Professor J. E. G. De Montmorency|SFMTCU994653053
cho_byil_1921_0002_000_0000|20|Notes|Cecil J. B. Hurst|JUGWBJ932394408
cho_byil_1921_0002_000_0000|21|Digest of Cases|Andrew Eric Jackson LL. D., O. B. E.|VKJIYU680403532
