psmid|articleid|gift_title|gift_authors|htc_authors|gift_asset_id|atlas_uid
cho_meet_1930_0108_000_0000|1|Italian Foreign Policy|Mr Cecil Sprigge|Mr Cecil Sprigge|QEWUUP449993382|18021565
cho_meet_1930_0109_000_0000|1|Art as a Factor in International Relations|Major A. A. Longden D. S. O.|Major A. A. Longden D. S. O.|JOFYCA851340804|
cho_meet_1931_0153_000_0000|1|The Challenge of the Russian Five-Year Plan|Michael Farbman|Michael Farbman|SDLZOB929269795|22221849
cho_meet_1932_0182_000_0000|1|Constitutional Tendencies in Eastern Countries|Lt.-Col. Sir Arnold Wilson K. C. I. E., C. S. I., C. M. G., D. S. O.|Lt.-Col. Sir Arnold Wilson K. C. I. E., C. S. I., C. M. G., D. S. O.|WWKGHX150736270|14003523
cho_meet_1933_0269_000_0000|1|The Triangle of English, French and American Finance|Monsieur Paul Reynaud|Monsieur Paul Reynaud|AREWUD871991962|13717982
cho_meet_1934_0357_000_0000|1|North American Impressions (Discussion Only)|Commander King-Hall|Commander  King-Hall|RKLVLG119233421|14310553
cho_meet_1935_0382_000_0000|1|Arabia Today|Mr. H. St John Philby C. I. E., F. R. G. S.|Mr. H. St John Philby C. I. E., F. R. G. S.|EVCQSR354051262|13716576
cho_meet_1935_0385_000_0000|1|The Foreign Policy of President Roosevelt|Mr Raymond Buell|Mr Raymond Buell|JEKYUN876262701|22226156
cho_meet_1935_0387_000_0000|1|The Italo-Abyssinian Question in Relation to World Affairs|The Rt. Hon. Sir Herbert Samuel G. C. B., G. B. K., M. P.|Rt. Hon. Sir Herbert Samuel, G.C.B., G.B.E., M.P.|IBLGPP315091869|13721382
cho_meet_1935_0387_000_0000|1|The Italo-Abyssinian Question in Relation to World Affairs|The Rt. Hon. Sir Herbert Samuel G. C. B., G. B. K., M. P.|The Rt. Hon. Sir Herbert Samuel G. C. B., G. B. K., M. P.|IBLGPP315091869|13721382
cho_meet_1936_0394_000_0000|1|Franco-British Relations|Monsieur André Géraud|Monsieur André Géraud|WWEEPO494171024|13611810
cho_meet_1936_0398_000_0000|1|America in World Affairs|Sir Frederick Whyte K. C. S. I.|Sir Frederick Whyte K. C. S. I.|UACYZI142256265|22212472
cho_meet_1939_0580_000_0000|1|Recent Impressions of Germany|Mr. A. G. Elliot-Smith / Mr. Con O'Neill / Mr. M. Zvengintzov|Mr. A. G. Elliot-Smith|VNURQS364392835|
cho_meet_1939_0580_000_0000|1|Recent Impressions of Germany|Mr. A. G. Elliot-Smith / Mr. Con O'Neill / Mr. M. Zvengintzov|Mr. Con O'Neill|VNURQS364392835|22213878
cho_meet_1939_0580_000_0000|1|Recent Impressions of Germany|Mr. A. G. Elliot-Smith / Mr. Con O'Neill / Mr. M. Zvengintzov|Mr. M. Zvengintzov|VNURQS364392835|22223896
cho_meet_1939_0596_000_0000|1|How France is Defended|General  Weygand|General  Weygand|FINXEL622890065|13727121
cho_meet_1946_1189_000_0000|1|Britain in the Far East|John Keswick|John Keswick|BHTWIW119098890|22219704
cho_meet_1946_1192_000_0000|1|International Law: Some Conditions of its Progress|Professor J. L. Brierly|Professor J. L. Brierly|RPQTQL150731788|22236397
cho_meet_1946_1195_000_0000|1|Factors Underlying British Foreign Policy Today|Hector McNeil M. P.|Hector McNeil M. P.|IFLNTY125795537|22219175
cho_meet_1946_1196_000_0000|1|A World Radio System for a World Government|N. F. Newsome O. B. E.|N. F. Newsome O. B. E.|NZOKFM416455348|22292269
cho_meet_1946_1200_000_0000|1|The United Nations: A Stocktaking|Professor K. H. Bailey|Professor K. H. Bailey|PYVYQE477555540|22236987
cho_meet_1946_1201_000_0000|1|Factors Underlying British Foreign Policy Today - II|The Right. Hon. R. A. Butler M. P.|The Right. Hon. R. A. Butler M. P.|PZKEJE775537828|13016702
cho_meet_1946_1203_000_0000|1|The Situation in Spain|Helen F. Grant|Helen F. Grant|GBAARK973270316|22272711
cho_meet_1946_1204_000_0000|1|Persia's Place in British Foreign Policy|The Hon. Harold Nicolson C. M. G.|The Hon. Harold Nicolson C. M. G.|INQQLF796923886|13744025
