psmid|articleid|gift_title|gift_authors|htc_authors|gift_asset_id|atlas_uid
cho_chbp_1979_briefings_000_0000|1|Foreign Policy and the New Government|||SSDNZK484136289|
cho_chrx_1931_0001_001_0000|1|Summaries of Leading Articles in the Chinese Press|||QIJETJ059245667|
cho_chrx_1931_0001_001_0000|1|Summaries of Leading Articles in the Chinese Press|||QIJETJ059245667|
cho_chrx_1931_0001_002_0000|1|Summaries of Leading Articles in the Chinese Press|||AQZTYA562771573|
cho_chrx_1931_0001_002_0000|1|Summaries of Leading Articles in the Chinese Press|||AQZTYA562771573|
cho_chrx_1931_0001_003_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Barker / Herbert Goffe||LFZDOD603064918|
cho_chrx_1931_0001_003_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Barker / Herbert Goffe|Herbert Goffe|LFZDOD603064918|22303651
cho_chrx_1931_0001_003_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Barker / Herbert Goffe|Miss Barker|LFZDOD603064918|14425434
cho_chrx_1931_0001_004_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Barker||QXCRBA180420513|
cho_chrx_1931_0001_004_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Barker|Miss Barker|QXCRBA180420513|14425434
cho_chrx_1931_0001_005_0000|1|Summaries of Leading Articles in the Chinese Press|Commander King-Hall|Commander King-Hall|OUHQED265688923|14310553
cho_chrx_1931_0001_005_0000|1|Summaries of Leading Articles in the Chinese Press|Commander King-Hall||OUHQED265688923|
cho_chrx_1931_0001_006_0000|1|Summaries of Leading Articles in the Chinese Press|||ZJJNWR615940459|
cho_chrx_1931_0001_006_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|ZJJNWR615940459|14689813
cho_chrx_1931_0001_007_0000|1|Summaries of Leading Articles in the Chinese Press|Comdr King-Hall||OYNVEJ790352428|
cho_chrx_1931_0001_007_0000|1|Summaries of Leading Articles in the Chinese Press|Comdr King-Hall|Comdr King-Hall|OYNVEJ790352428|14310553
cho_chrx_1931_0001_008_0000|1|Summaries of Leading Articles in the Chinese Press|||MNXCMT251172340|
cho_chrx_1931_0001_008_0000|1|Summaries of Leading Articles in the Chinese Press|||MNXCMT251172340|
cho_chrx_1931_0001_009_0000|1|Summaries of Leading Articles in the Chinese Press|||QPVZLM769196857|
cho_chrx_1931_0001_009_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|QPVZLM769196857|14689813
cho_chrx_1931_0001_010_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|LDEMOX423348510|14689813
cho_chrx_1931_0001_010_0000|1|Summaries of Leading Articles in the Chinese Press|||LDEMOX423348510|
cho_chrx_1931_0001_011_0000|1|Summaries of Leading Articles in the Chinese Press|||LNIRPZ123370021|
cho_chrx_1931_0001_011_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|LNIRPZ123370021|14689813
cho_chrx_1931_0001_012_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|CPBRIX821198352|14689813
cho_chrx_1931_0001_012_0000|1|Summaries of Leading Articles in the Chinese Press|||CPBRIX821198352|
cho_chrx_1931_0001_013_0000|1|Summaries of Leading Articles in the Chinese Press|||DQKRGZ850716276|
cho_chrx_1931_0001_013_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|DQKRGZ850716276|14689813
cho_chrx_1931_0001_014_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|BLXQST568966734|14689813
cho_chrx_1931_0001_014_0000|1|Summaries of Leading Articles in the Chinese Press|||BLXQST568966734|
cho_chrx_1931_0001_015_0000|1|Summaries of Leading Articles in the Chinese Press|||RLZRAM142364920|
cho_chrx_1931_0001_015_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|RLZRAM142364920|14689813
cho_chrx_1931_0001_016_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|ADJGPT294716081|14689813
cho_chrx_1931_0001_016_0000|1|Summaries of Leading Articles in the Chinese Press|||ADJGPT294716081|
cho_chrx_1931_0001_017_0000|1|Summaries of Leading Articles in the Chinese Press|||DUOJPW695862764|
cho_chrx_1931_0001_017_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|DUOJPW695862764|14689813
cho_chrx_1931_0001_018_0000|1|Summaries of Leading Articles in the Chinese Press|||FABKGS795792132|
cho_chrx_1931_0001_018_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|FABKGS795792132|14689813
cho_chrx_1931_0001_020_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|LLVOCH002515944|14689813
cho_chrx_1931_0001_020_0000|1|Summaries of Leading Articles in the Chinese Press|||LLVOCH002515944|
cho_chrx_1931_0001_021_0000|1|Summaries of Leading Articles in the Chinese Press|||ADYYBR647796459|
cho_chrx_1931_0001_021_0000|1|Summaries of Leading Articles in the Chinese Press|||ADYYBR647796459|
cho_chrx_1931_0001_022_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|OIFSPN003973134|14689813
cho_chrx_1931_0001_022_0000|1|Summaries of Leading Articles in the Chinese Press|||OIFSPN003973134|
cho_chrx_1931_0001_023_0000|1|Summaries of Leading Articles in the Chinese Press|||QLXJAY097115826|
cho_chrx_1931_0001_023_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|QLXJAY097115826|14689813
cho_chrx_1931_0001_024_0000|1|Summaries of Leading Articles in the Chinese Press|||PAYUEL672942859|
cho_chrx_1931_0001_024_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|PAYUEL672942859|14689813
cho_chrx_1932_0002_025_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|NOYGSF107352715|14689813
cho_chrx_1932_0002_025_0000|1|Summaries of Leading Articles in the Chinese Press|||NOYGSF107352715|
cho_chrx_1932_0002_026_0000|1|Summaries of Leading Articles in the Chinese Press|||CWIEZG609958078|
cho_chrx_1932_0002_026_0000|1|Summaries of Leading Articles in the Chinese Press|||CWIEZG609958078|
cho_chrx_1932_0002_027_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|CZVJYQ328052755|14689813
cho_chrx_1932_0002_027_0000|1|Summaries of Leading Articles in the Chinese Press|||CZVJYQ328052755|
cho_chrx_1932_0002_028_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|QUZORN860723572|14689813
cho_chrx_1932_0002_028_0000|1|Summaries of Leading Articles in the Chinese Press|||QUZORN860723572|
cho_chrx_1932_0002_029_0000|1|Summaries of Leading Articles in the Chinese Press|||UPZNRA980642619|
cho_chrx_1932_0002_029_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|UPZNRA980642619|14689813
cho_chrx_1932_0002_030_0000|1|Summaries of Leading Articles in the Chinese Press|||AEOSNC215145727|
cho_chrx_1932_0002_030_0000|1|Summaries of Leading Articles in the Chinese Press|||AEOSNC215145727|
cho_chrx_1932_0002_031_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|GQHGGA678835709|14689813
cho_chrx_1932_0002_031_0000|1|Summaries of Leading Articles in the Chinese Press|||GQHGGA678835709|
cho_chrx_1932_0002_032_0000|1|Summaries of Leading Articles in the Chinese Press|||BPLOOE508142544|
cho_chrx_1932_0002_032_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|BPLOOE508142544|14689813
cho_chrx_1932_0002_033_0000|1|Summaries of Leading Articles in the Chinese Press|||DFLVDD676703364|
cho_chrx_1932_0002_033_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|DFLVDD676703364|14689813
cho_chrx_1932_0002_034_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|RMVAON331680156|14689813
cho_chrx_1932_0002_034_0000|1|Summaries of Leading Articles in the Chinese Press|||RMVAON331680156|
cho_chrx_1932_0002_035_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|UOMYUJ528983839|14689813
cho_chrx_1932_0002_035_0000|1|Summaries of Leading Articles in the Chinese Press|||UOMYUJ528983839|
cho_chrx_1932_0002_036_0000|1|Summaries of Leading Articles in the Chinese Press|||VWMNVC412390272|
cho_chrx_1932_0002_036_0000|1|Summaries of Leading Articles in the Chinese Press|||VWMNVC412390272|
cho_chrx_1932_0002_037_0000|1|Summaries of Leading Articles in the Chinese Press|||OCTEGV579139237|
cho_chrx_1932_0002_037_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|OCTEGV579139237|14689813
cho_chrx_1932_0002_038_0000|1|Summaries of Leading Articles in the Chinese Press|||KHBOSA327803980|
cho_chrx_1932_0002_038_0000|1|Summaries of Leading Articles in the Chinese Press|||KHBOSA327803980|
cho_chrx_1932_0002_039_0000|1|Summaries of Leading Articles in the Chinese Press|||JHFLQT405068644|
cho_chrx_1932_0002_039_0000|1|Summaries of Leading Articles in the Chinese Press|||JHFLQT405068644|
cho_chrx_1932_0002_040_0000|1|Summaries of Leading Articles in the Chinese Press|||HVSJIT612147272|
cho_chrx_1932_0002_040_0000|1|Summaries of Leading Articles in the Chinese Press|||HVSJIT612147272|
cho_chrx_1932_0002_041_0000|1|Summaries of Leading Articles in the Chinese Press|||EBTCPN087732856|
cho_chrx_1932_0002_041_0000|1|Summaries of Leading Articles in the Chinese Press|||EBTCPN087732856|
cho_chrx_1932_0002_042_0000|1|Summaries of Leading Articles in the Chinese Press|||GNYZHC833601328|
cho_chrx_1932_0002_042_0000|1|Summaries of Leading Articles in the Chinese Press|||GNYZHC833601328|
cho_chrx_1932_0002_043_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|DQTKYR337196909|14689813
cho_chrx_1932_0002_043_0000|1|Summaries of Leading Articles in the Chinese Press|||DQTKYR337196909|
cho_chrx_1932_0002_044_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|DPZNJI910974819|14689813
cho_chrx_1932_0002_044_0000|1|Summaries of Leading Articles in the Chinese Press|||DPZNJI910974819|
cho_chrx_1932_0002_045_0000|1|Summaries of Leading Articles in the Chinese Press|||TBKYUT043646876|
cho_chrx_1932_0002_045_0000|1|Summaries of Leading Articles in the Chinese Press|||TBKYUT043646876|
cho_chrx_1932_0002_046_0000|1|Summaries of Leading Articles in the Chinese Press|||NFQKUC903168241|
cho_chrx_1932_0002_046_0000|1|Summaries of Leading Articles in the Chinese Press|||NFQKUC903168241|
cho_chrx_1932_0002_047_0000|1|Summaries of Leading Articles in the Chinese Press|||BTBOSX262234641|
cho_chrx_1932_0002_047_0000|1|Summaries of Leading Articles in the Chinese Press|||BTBOSX262234641|
cho_chrx_1932_0002_048_0000|1|Summaries of Leading Articles in the Chinese Press|||XVNZZZ215570003|
cho_chrx_1932_0002_048_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|XVNZZZ215570003|14689813
cho_chrx_1933_0000_000_0000|1|Information Department Memorandum on France and Disarmament|||UWNSZC612138620|
cho_chrx_1933_0003_049_0000|1|Summaries of Leading Articles in the Chinese Press|||EYSBGN198852064|
cho_chrx_1933_0003_049_0000|1|Summaries of Leading Articles in the Chinese Press|||EYSBGN198852064|
cho_chrx_1933_0003_050_0000|1|Summaries of Leading Articles in the Chinese Press|||JQYRQS759026830|
cho_chrx_1933_0003_050_0000|1|Summaries of Leading Articles in the Chinese Press||Miss Grindrod|JQYRQS759026830|14689813
cho_chrx_1933_0003_051_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.|Miss Grindrod|KKBYSL527719777|14689813
cho_chrx_1933_0003_051_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.||KKBYSL527719777|
cho_chrx_1933_0003_051_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.|Sir Herbert Goffe K.B.E., C.M.G.|KKBYSL527719777|22303651
cho_chrx_1933_0003_052_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.||SMRPCM051703136|
cho_chrx_1933_0003_052_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.|Miss Grindrod|SMRPCM051703136|14689813
cho_chrx_1933_0003_052_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.|Sir Herbert Goffe K.B.E., C.M.G.|SMRPCM051703136|22303651
cho_chrx_1933_0003_053_0000|1|Summaries of Leading Articles in the Chinese Press|||RJPWWI813390883|
cho_chrx_1933_0003_053_0000|1|Summaries of Leading Articles in the Chinese Press|||RJPWWI813390883|
cho_chrx_1933_0003_054_0000|1|Summaries of Leading Articles in the Chinese Press|||DDKBOX172259055|
cho_chrx_1933_0003_054_0000|1|Summaries of Leading Articles in the Chinese Press|||DDKBOX172259055|
cho_chrx_1933_0003_055_0000|1|Summaries of Leading Articles in the Chinese Press|||FIWOGM473754520|
cho_chrx_1933_0003_055_0000|1|Summaries of Leading Articles in the Chinese Press|||FIWOGM473754520|
cho_chrx_1933_0003_056_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.||CSMMEC492482737|
cho_chrx_1933_0003_056_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.|Sir Herbert Goffe K.B.E., C.M.G.|CSMMEC492482737|22303651
cho_chrx_1933_0003_057_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.||USJYPM066841431|
cho_chrx_1933_0003_057_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.|Sir Herbert Goffe K.B.E., C.M.G.|USJYPM066841431|22303651
cho_chrx_1933_0003_058_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.|Miss Grindrod|QTGOAQ228975473|14689813
cho_chrx_1933_0003_058_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.|Sir Herbert Goffe K.B.E., C.M.G.|QTGOAQ228975473|22303651
cho_chrx_1933_0003_058_0000|1|Summaries of Leading Articles in the Chinese Press|Miss Grindrod / Sir Herbert Goffe K.B.E., C.M.G.||QTGOAQ228975473|
cho_chrx_1933_0003_059_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.|Sir Herbert Goffe K.B.E., C.M.G.|EUIBWP259213929|22303651
cho_chrx_1933_0003_059_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.||EUIBWP259213929|
cho_chrx_1933_0003_060_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.||TGIJSE028837113|
cho_chrx_1933_0003_060_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.|Sir Herbert Goffe K.B.E., C.M.G.|TGIJSE028837113|22303651
cho_chrx_1933_0003_061_0000|1|Summaries of Leading Articles in the Chinese Press|||QZEAZW118861666|
cho_chrx_1933_0003_061_0000|1|Summaries of Leading Articles in the Chinese Press|||QZEAZW118861666|
cho_chrx_1933_0003_062_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.|Sir Herbert Goffe K.B.E., C.M.G.|GYHMGC014447007|22303651
cho_chrx_1933_0003_062_0000|1|Summaries of Leading Articles in the Chinese Press|Sir Herbert Goffe K.B.E., C.M.G.||GYHMGC014447007|
