"psmid"|"early_articlid"|"latest_articleid"
"cho_byil_1922_0003_000_0000"|"39"|"40"
"cho_byil_1922_0003_000_0000"|"40"|"41"
"cho_byil_1922_0003_000_0000"|"41"|"42"
"cho_byil_1922_0003_000_0000"|"42"|"43"
"cho_byil_1923_0004_000_0000"|"44"|"45"
"cho_byil_1923_0004_000_0000"|"45"|"46"
"cho_byil_1923_0004_000_0000"|"46"|"47"
"cho_byil_1925_0006_000_0000"|"36"|"37"
"cho_byil_1925_0006_000_0000"|"37"|"38"
"cho_byil_1925_0006_000_0000"|"38"|"39"
"cho_byil_1925_0006_000_0000"|"39"|"40"
"cho_byil_1925_0006_000_0000"|"40"|"41"
"cho_byil_1926_0007_000_0000"|"40"|"41"
"cho_byil_1926_0007_000_0000"|"41"|"42"
"cho_byil_1926_0007_000_0000"|"42"|"43"
"cho_byil_1926_0007_000_0000"|"43"|"44"
"cho_byil_1926_0007_000_0000"|"44"|"45"
"cho_byil_1928_0009_000_0000"|"51"|"52"
"cho_byil_1928_0009_000_0000"|"52"|"53"
"cho_byil_1928_0009_000_0000"|"53"|"54"
"cho_byil_1928_0009_000_0000"|"54"|"55"
"cho_byil_1929_0010_000_0000"|"64"|"65"
"cho_byil_1929_0010_000_0000"|"65"|"66"
"cho_byil_1929_0010_000_0000"|"66"|"67"
"cho_byil_1931_0012_000_0000"|"29"|"30"
"cho_byil_1931_0012_000_0000"|"30"|"31"
"cho_byil_1931_0012_000_0000"|"31"|"32"
"cho_byil_1931_0012_000_0000"|"32"|"33"
"cho_byil_1931_0012_000_0000"|"33"|"34"
"cho_byil_1931_0012_000_0000"|"34"|"35"
"cho_byil_1932_0013_000_0000"|"79"|"80"
"cho_byil_1933_0014_000_0000"|"77"|"78"
"cho_byil_1933_0014_000_0000"|"78"|"79"
"cho_byil_1936_0017_000_0000"|"80"|"82"
"cho_byil_1937_0018_000_0000"|"77"|"78"
"cho_byil_1937_0018_000_0000"|"78"|"80"
"cho_byil_1947_0024_000_0000"|"53"|"55"
"cho_byil_1947_0024_000_0000"|"54"|"56"
"cho_byil_1947_0024_000_0000"|"55"|"57"
"cho_byil_1947_0024_000_0000"|"56"|"58"
"cho_byil_1952_0029_000_0000"|"42"|"43"
"cho_byil_1952_0029_000_0000"|"43"|"44"
"cho_byil_1952_0029_000_0000"|"44"|"45"
"cho_byil_1952_0029_000_0000"|"45"|"46"
"cho_byil_1958_0034_000_0000"|"47"|"48"
"cho_byil_1958_0034_000_0000"|"48"|"49"
"cho_byil_1958_0034_000_0000"|"49"|"50"
"cho_byil_1958_0034_000_0000"|"50"|"51"
"cho_byil_1961_0037_000_0000"|"35"|"36"
"cho_byil_1961_0037_000_0000"|"36"|"37"
"cho_byil_1961_0037_000_0000"|"37"|"38"
"cho_byil_1961_0037_000_0000"|"38"|"39"
"cho_byil_1961_0037_000_0000"|"39"|"40"
"cho_byil_1962_0038_000_0000"|"42"|"43"
"cho_byil_1962_0038_000_0000"|"43"|"44"
"cho_byil_1962_0038_000_0000"|"44"|"45"
