"psmid"|"early_articlesequence"|"latest_articlesequence"|"early_fulltitle"|"latest_fulltitle"|"early_aucomposed"|"latest_aucomposed"|"early_assetid"|"latest_assetid"|"atlashubuid"
"cho_book_1949_aubert_000_0000"|"6"|"6"|"Controle De S�curit� (1)"|"Controle De S�curit� (1) Part 1."|"Louis F. Aubert"|"Louis F. Aubert"|"TNZFXQ477981486"|"TNZFXQ477981486"|""
"cho_book_1949_aubert_000_0000"|"7"|"7"|"Controle De S�curit� (1)"|"Controle De S�curit� (1) Part 2."|"Louis F. Aubert"|"Louis F. Aubert"|"ANOKYJ698811028"|"ANOKYJ698811028"|""
"cho_book_1955_Ruhm_000_0000"|"268"|"268"|"Letter from the Federal Chancellor to the Secretary of State for Foreign Affairs on the Rights of a Military Commander to Protect his Forces"|"3. Letter from the Federal Chancellor to the Secretary of State for Foreign Affairs on the Rights of a Military Commander to Protect his Forces"|"Adenauer"|"Adenauer"|"SIBKNS179410113"|"SIBKNS179410113"|""
"cho_book_1971_kerr_000_0000"|"6"|"6"|"2.'Secessionism', September 1961-March 1963"|"2. 'Secessionism', September 1961-March 1963"|"Muhammad Hasanayn Haykal"|"Muhammad Hasanayn Haykal"|"OMRTHQ613889210"|"OMRTHQ613889210"|""
"cho_book_1973_chayes_000_0000"|"7"|"7"|"1 Introduction"|"I Introduction"|"Abram Chayes"|"Abram Chayes"|"KGJGEZ383374134"|"KGJGEZ383374134"|""
"cho_byil_1922_0003_000_0000"|"29"|"29"|"International Law Chiefly as Interpreted and Applied by the United States. By Charles Cheney HYde. 2 vols. Vol. I. pp. lIx., 832. vol. II. pp. XXVII., 925. 1922. Boston: Little, Brown & Co. ($25)"|"Reviews of Books"|"A. Pearce Higgins"|""|"XTUVUX098652795"|"XTUVUX098652795"|""
"cho_byil_1922_0003_000_0000"|"30"|"30"|"The Leipzig Trials. An Account of the War Criminals' Trials and a Study of German Mentality. By Claud Mullins. With an Introduction by Sir Ernest Pollock. 1921. London: Witherby. 8vo. pp. 238.(8s. 6d. net.)"|"International Law Chiefly as Interpreted and Applied by the United States. By Charles Cheney HYde. 2 vols. Vol. I. pp. lIx., 832. vol. II. pp. XXVII., 925. 1922. Boston: Little, Brown & Co. ($25)"|"Alfred Hopkinson"|"A. Pearce Higgins"|"TFUYUK969928049"|"TFUYUK969928049"|""
"cho_byil_1922_0003_000_0000"|"31"|"31"|"A Revision of the Peace Treaty. By John Maynard Keynes. 1922. London: MacMillan & Co. pp. 223.(7s. 6d.)"|"The Leipzig Trials. An Account of the War Criminals' Trials and a Study of German Mentality. By Claud Mullins. With an Introduction by Sir Ernest Pollock. 1921. London: Witherby. 8vo. pp. 238.(8s. 6d. net.)"|"Cyril M. Picciotto"|"Alfred Hopkinson"|"GFLYDS097726585"|"GFLYDS097726585"|""
"cho_byil_1922_0003_000_0000"|"32"|"32"|"Le Droit des Gens et la Guerre de 1914-1918. Par A. Mérignhac et E. Lémonon, avec une Préface de M. Léon Bourgeois. 2 vols. pp. 650 and 673. 1921. Paris: Recueil Sirey"|"A Revision of the Peace Treaty. By John Maynard Keynes. 1922. London: MacMillan & Co. pp. 223.(7s. 6d.)"|"W. R. Bisschop"|"Cyril M. Picciotto"|"ZUIBKU218732621"|"ZUIBKU218732621"|""
"cho_byil_1922_0003_000_0000"|"33"|"33"|"Le Droit pénal international et sa mise en æuvre en temps de paix et en temps de guerre, par Maurice Travers. Tomes II. and III. 1921. Paris: Libr. de la Soc. du Recueil Sirey. 8vo. pp. 683 and 552"|"Le Droit des Gens et la Guerre de 1914-1918. Par A. Mérignhac et E. Lémonon, avec une Préface de M. Léon Bourgeois. 2 vols. pp. 650 and 673. 1921. Paris: Recueil Sirey"|"Ernest J. Schuster"|"W. R. Bisschop"|"BMTCNF472872608"|"BMTCNF472872608"|""
