psmid|articleid|assetid|counter
cho_iaxx_1947_0023_000_0000|78|HEKQWD874168985|32
cho_iaxx_1946_0022_000_0000|96|XNLQOU007585215|29
cho_iaxx_1940-1943_0019_000_0000|9|SAUVJX946001078|28
cho_iaxx_1944_0020_000_0000|23|HKFDLK775677237|27
cho_iaxx_1948_0024_000_0000|81|JTCLGP955703553|27
cho_iaxx_1956_0032_000_0000|55|PHPBMY561738703|27
cho_iaxx_1928_0007_000_0000|32|PSMXAR892920110|24
cho_iaxx_1949_0025_000_0000|86|GCPAAS479145671|24
cho_iaxx_1929_0008_000_0000|10|MTATUF880328056|23
cho_iaxx_1946_0022_000_0000|45|PACQSL713683522|23
cho_iaxx_1955_0031_000_0000|91|PMXSUV603806507|23
cho_iaxx_1959_0035_000_0000|99|FXVRMB220561551|23
cho_iaxx_1975_0051_000_0000|89|NJHSFK638012221|23
cho_iaxx_1977_0053_000_0000|64|FTFNAB897352695|23
cho_iaxx_1946_0022_000_0000|22|DLQHIN365922540|22
cho_iaxx_1947_0023_000_0000|21|INOCLQ429262252|22
cho_iaxx_1971_0047_000_0000|19|VSDJZG902461419|22
cho_iaxx_1946_0022_000_0000|40|RONDUH270312552|21
cho_iaxx_1955_0031_000_0000|122|HYQOPC193578842|21
cho_iaxx_1960_0036_000_0000|61|ESPNPD243184857|21
cho_iaxx_1972_0048_000_0000|16|TKCENP421142632|21
cho_iaxx_1959_0035_000_0000|60|HGUAJN220989111|21
cho_iaxx_1979_0055_000_0000|47|FKLOSV272595680|21
cho_iaxx_1944_0020_000_0000|46|ZKIPEC048554149|20
cho_iaxx_1945_0021_000_0000|48|CYDYTC853786308|20
cho_iaxx_1947_0023_000_0000|108|NDEMOI748097661|20
cho_iaxx_1948_0024_000_0000|23|HEKCFY144548173|20
cho_iaxx_1948_0024_000_0000|108|QFBEPZ895584061|20
cho_iaxx_1952_0028_000_0000|60|GHXCEL536119914|20
cho_iaxx_1956_0032_000_0000|25|JDSYXC071327185|20
cho_iaxx_1928_0007_000_0000|18|YMSPJO268198619|19
cho_iaxx_1938_0017_000_0000|85|UQYFAW292268880|19
cho_iaxx_1946_0022_000_0000|89|SLFFFA772722418|19
cho_iaxx_1948_0024_000_0000|52|KDCQOR342992785|19
cho_iaxx_1952_0028_000_0000|131|OPCNQQ034885653|19
cho_iaxx_1954_0030_000_0000|132|OCRKIK709750065|19
cho_iaxx_1959_0035_000_0000|26|JFHGLW993895235|19
cho_iaxx_1958_0034_000_0000|86|HZUXYQ380071062|19
cho_byil_1949_0026_000_0000|8|IASFZM582140900|18
cho_iaxx_1938_0017_000_0000|67|ONCGRR342183163|18
cho_iaxx_1938_0017_000_0000|46|CWGEUZ760296657|18
cho_iaxx_1947_0023_000_0000|55|ZWLEOY081684018|18
cho_iaxx_1956_0032_000_0000|88|KAKSGU893567545|18
cho_iaxx_1960_0036_000_0000|92|VOPQVA781722618|18
cho_iaxx_1961_0037_000_0000|20|IQKDFJ833699385|18
cho_iaxx_1961_0037_000_0000|97|FAREYS170013675|18
cho_iaxx_1940-1943_0019_000_0000|30|ZHGUBB143107212|17
cho_iaxx_1947_0023_000_0000|49|QLCTIS921494476|17
cho_iaxx_1954_0030_000_0000|63|ZGJOZZ400202739|17
cho_iaxx_1958_0034_000_0000|55|GTAMVY005506225|17
cho_iaxx_1958_0034_000_0000|26|AMDUJC697298917|17
cho_iaxx_1965_0041_000_0000|20|HICSBQ227400581|17
